"rank","method","acc_imp_o_avg","acc_imp_o_best","nll_imp_o_avg","nll_imp_o_best","ece_imp_o_avg","ece_imp_o_best"
1,"average + BC",0.0183719298245614,0.0122929824561403,0.0840027053889475,0.0421099351686344,0.018365222417439,-0.00462434864439593
2,"average + M1",0.0183719298245614,0.0122929824561403,0.0830374931295713,0.0411447229092581,0.0165889869161203,-0.00640058414571461
3,"average + M2",0.0183719298245614,0.0122929824561403,0.0830379602940459,0.0411451900737327,0.0165890018999977,-0.00640056916183727
4,"average + SBT",0.0183719298245614,0.0122929824561403,0.0830381923077399,0.0411454220874268,0.0165889884831318,-0.00640058257870311
5,"average.uncert + BC",0.0192210526315789,0.0131421052631579,-0.0507360619672558,-0.0926288321875689,-0.132426552964669,-0.155416124026503
6,"average.uncert + M1",0.0191438596491228,0.0130649122807017,-0.0534659416267746,-0.0953587118470878,-0.134745715186,-0.157735286247835
7,"average.uncert + M2",0.0188982456140351,0.012819298245614,-0.0555254703289584,-0.0974182405492716,-0.134507839192162,-0.157497410253997
8,"average.uncert + SBT",0.018980701754386,0.0129017543859649,-0.0557717930590897,-0.0976645632794029,-0.134259201422857,-0.157248772484692
9,"cal_average + BC",0.0213754385964912,0.0152964912280702,0.0749487790622209,0.0330560088419078,0.0141415807782068,-0.00884799028362817
10,"cal_average + M1",0.0213719298245614,0.0152929824561403,0.0207856927524533,-0.0211070774678598,-0.00532504948869086,-0.0283146205505258
11,"cal_average + M2",0.0213719298245614,0.0152929824561403,0.0209886771545076,-0.0209040930658056,-0.00784361578131977,-0.0308331868431547
12,"cal_average + SBT",0.0213526315789474,0.0152736842105263,,,,
13,"cal_average.uncert + BC",0.0210473684210526,0.0149684210526316,-0.0417062740838319,-0.083599044304145,-0.126228539273143,-0.149218110334978
14,"cal_average.uncert + M1",0.0211894736842105,0.0151105263157894,-0.0478781159771116,-0.0897708861974248,-0.132542378122085,-0.15553194918392
15,"cal_average.uncert + M2",0.0213087719298246,0.0152298245614035,-0.0520792526372692,-0.0939720228575824,-0.133712593890857,-0.156702164952692
16,"cal_average.uncert + SBT",0.021280701754386,0.0152017543859649,-0.0519828078778167,-0.0938755780981298,-0.132040601125673,-0.155030172187508
17,"cal_prob_average + BC",0.0147614035087719,0.00868245614035085,0.0673488595506601,0.025456089330347,0.0150421004448282,-0.00794747061700675
18,"cal_prob_average + M1",0.0183894736842105,0.0123105263157895,0.0636128785840252,0.021720108363712,-0.0228834885188885,-0.0458730595807234
19,"cal_prob_average + M2",0.018940350877193,0.0128614035087719,0.0606814919595133,0.0187887217392001,-0.0310606215672012,-0.0540501926290362
20,"cal_prob_average + SBT",0.0186912280701754,0.0126122807017544,0.0626955540818081,0.0208027838614949,-0.0273203165188693,-0.0503098875807043
21,"cal_prob_average.uncert + BC",0.0194228070175439,0.0133438596491228,-0.076270904326648,-0.118163674546961,-0.156611335480161,-0.179600906541996
22,"cal_prob_average.uncert + M1",0.0194017543859649,0.0133228070175438,-0.07757534204345,-0.119468112263763,-0.158085896094379,-0.181075467156214
23,"cal_prob_average.uncert + M2",0.0193684210526316,0.0132894736842105,-0.0786192360938641,-0.120512006314177,-0.159370666108372,-0.182360237170207
24,"cal_prob_average.uncert + SBT",0.0193982456140351,0.013319298245614,-0.0767423611199647,-0.118635131340278,-0.158419797654476,-0.181409368716311
25,"grad_bc + BC",0.0189175438596491,0.0128385964912281,0.087186905767834,0.0452941355475208,0.0224814014795253,-0.000508169582309692
26,"grad_bc + M1",0.0190210526315789,0.0129421052631579,0.0856008780630011,0.043708107842688,0.0215749784766925,-0.00141459258514244
27,"grad_bc + M2",0.0189736842105263,0.0128947368421052,0.0855954809669863,0.0437027107466731,0.0209636660517406,-0.00202590501009438
28,"grad_bc + SBT",0.0189771929824561,0.0128982456140351,0.0864656913960189,0.0445729211757058,0.0213627507552717,-0.00162682030656326
29,"grad_bc.uncert + BC",0.0193245614035088,0.0132456140350877,-0.0499204069114568,-0.09181317713177,-0.131817577537476,-0.154807148599311
30,"grad_bc.uncert + M1",0.0191754385964912,0.0130964912280702,-0.053138545077098,-0.0950313152974112,-0.134471021037091,-0.157460592098926
