"rank","method","acc1_imp_o_avg","acc1_imp_o_best","acc5_imp_o_avg","acc5_imp_o_best","nll_imp_o_avg","nll_imp_o_best","ece_imp_o_avg","ece_imp_o_best"
1,"average + bc",0.0301840909090909,0.0161354545454546,0.0150009090909091,0.01037,0.129135436632416,0.0658037472854961,0.0238166478547183,-0.020645568316633
2,"average + m1",0.0301859090909091,0.0161372727272727,0.0143872727272727,0.00975636363636364,0.0505964254791086,-0.0127352638678118,0.0036450392481956,-0.0408171769231557
3,"average + m2",0.0301840909090909,0.0161354545454545,0.0149290909090909,0.0102981818181818,0.0513449514454061,-0.0119867379015142,0.0034800017760559,-0.0409822143952954
4,"cal_average + bc",0.0310104545454546,0.0169618181818182,0.0155127272727273,0.0108818181818182,-0.460837855935097,-0.524169545282017,-0.211574727161364,-0.256036943332715
5,"cal_average + m1",0.0310313636363637,0.0169827272727273,0.00443818181818183,-0.000192727272727269,-0.532520281997594,-0.595851971344514,-0.07536819441752,-0.119830410588871
6,"cal_average + m2",0.0310313636363637,0.0169827272727273,0.0144918181818182,0.00986090909090909,-0.528766224330122,-0.592097913677042,-0.0837143144824288,-0.12817653065378
7,"grad_m2 + bc",0.0308386363636364,0.01679,0.0150881818181818,0.0104572727272727,0.132709027691321,0.0693773383444006,0.0257350131869317,-0.0187272029844197
8,"grad_m2 + m1",0.0328095454545455,0.0187609090909091,0.0143118181818182,0.00968090909090909,0.0925025194883347,0.0291708301414143,0.01198206638748,-0.0324801497838713
9,"grad_m2 + m2",0.0330104545454546,0.0189618181818182,0.0155836363636364,0.0109527272727273,0.0949049578471618,0.0315732685002414,0.0122858094559475,-0.0321764067154039
10,"logreg_torch + bc",0.0349486363636364,0.0209,0.0158963636363637,0.0112654545454546,0.0681420930407264,0.00481040369380604,0.0893499465151267,0.0448877303437753
11,"logreg_torch + m1",0.0270540909090909,0.0130054545454546,0.00607636363636366,0.00144545454545456,-0.0595151470466093,-0.12284683639353,0.0670658404176885,0.0226036242463372
12,"logreg_torch + m2",0.0298031818181818,0.0157545454545454,0.0134309090909091,0.00880000000000002,0.0217560407790271,-0.0415756485678933,0.0799494301053611,0.0354872139340097
13,"random + bc",0.0277431818181818,0.0136945454545455,0.0140445454545455,0.00941363636363637,0.164360104636713,0.101028415289792,0.0200020001185212,-0.0244602160528302
14,"random + m1",0.0206031818181818,0.00655454545454546,0.0127227272727273,0.00809181818181819,0.0801468342542648,0.0168151449073445,0.0166884337297895,-0.0277737824415618
15,"random + m2",0.0146277272727273,0.000579090909090903,0.00956818181818183,0.00493727272727273,0.055259031328288,-0.00807265801863236,0.0237336514348334,-0.020728564736518
16,"baseline - TemperatureScaling",0.0271377272727273,0.0130890909090909,0.0130581818181819,0.00842727272727276,0.205495074391365,0.142163385044445,0.0508992709219456,0.00643705475059428
