"rank","method","acc1_imp_o_avg","acc1_imp_o_best","acc5_imp_o_avg","acc5_imp_o_best","nll_imp_o_avg","nll_imp_o_best","ece_imp_o_avg","ece_imp_o_best"
1,"average + bc",0.0301777272727273,0.0161290909090909,0.0150036363636364,0.0103727272727273,0.206315093419769,0.142983404072848,0.0128495381637053,-0.031612678007646
2,"average + m1",0.0301831818181818,0.0161345454545455,0.0149290909090909,0.0102981818181818,0.224352179603143,0.161020490256223,0.0544661361385476,0.0100039199671962
3,"average + m2",0.0301831818181818,0.0161345454545455,0.0150036363636364,0.0103727272727273,0.225107218731533,0.161775529384613,0.0544007708403198,0.00993855466896842
4,"cal_average + bc",0.0309759090909091,0.0169272727272727,0.0155145454545455,0.0108836363636364,-0.877048477530479,-0.9403801668774,-0.473929519003088,-0.518391735174439
5,"cal_average + m1",0.0310304545454546,0.0169818181818182,0.0097709090909091,0.00514,-0.221765248612924,-0.285096937959844,-0.0592412677678194,-0.103703483939171
6,"cal_average + m2",0.0310304545454546,0.0169818181818182,0.0151890909090909,0.0105581818181818,-0.217564930970019,-0.280896620316939,-0.0657320009036497,-0.110194217075001
7,"grad_m2 + bc",0.030145,0.0160963636363636,0.0149927272727273,0.0103618181818182,0.207112776962194,0.143781087615273,0.0143215652893891,-0.0301406508819623
8,"grad_m2 + m1",0.0334177272727273,0.0193690909090909,0.0153290909090909,0.0106981818181818,0.262061881748113,0.198730192401192,0.067565530538559,0.0231033143672077
9,"grad_m2 + m2",0.0338159090909091,0.0197672727272727,0.0156781818181818,0.0110472727272727,0.260119366374883,0.196787677027962,0.0689280056817965,0.0244657895104452
10,"random + bc",0.0309068181818182,0.0168581818181818,0.0149436363636364,0.0103127272727273,0.18195759572766,0.11862590638074,-0.0250117494301362,-0.0694739656014876
11,"random + m1",0.0231559090909091,0.00910727272727273,0.0130290909090909,0.00839818181818183,0.0515195388685574,-0.011812150478363,-0.0273826328868215,-0.0718448490581729
12,"random + m2",0.0158468181818182,0.00179818181818181,0.0103745454545455,0.00574363636363636,0.0338707877831026,-0.0294609015638178,-0.00540121983398087,-0.0498634360053322
13,"baseline - TemperatureScaling",0.0271377272727273,0.0130890909090909,0.0130581818181819,0.00842727272727276,0.205495074391365,0.142163385044445,0.0508992709219456,0.00643705475059428
