"combining_method","coupling_method","combination_size","metric","p.val","better_method"
"grad_m2","bc","2","accuracy5",2e-04,"WLE"
"grad_m2","bc","2","accuracy1",2e-04,"WLE"
"grad_m2","bc","2","nll",1e-04,"BSL"
"grad_m2","bc","2","ece",5e-04,"BSL"
"grad_m2","bc","3","accuracy5",0,"WLE"
"grad_m2","bc","3","accuracy1",0,"WLE"
"grad_m2","bc","3","nll",0,"BSL"
"grad_m2","bc","3","ece",0.6385,""
"grad_m2","bc","4","accuracy5",0,"WLE"
"grad_m2","bc","4","accuracy1",1e-04,"WLE"
"grad_m2","bc","4","nll",0,"BSL"
"grad_m2","bc","4","ece",3e-04,"WLE"
"grad_m2","m2","2","accuracy5",1e-04,"WLE"
"grad_m2","m2","2","accuracy1",1e-04,"WLE"
"grad_m2","m2","2","nll",0,"BSL"
"grad_m2","m2","2","ece",1e-04,"BSL"
"grad_m2","m2","3","accuracy5",0,"WLE"
"grad_m2","m2","3","accuracy1",0,"WLE"
"grad_m2","m2","3","nll",0,"BSL"
"grad_m2","m2","3","ece",0,"BSL"
"grad_m2","m2","4","accuracy5",0,"WLE"
"grad_m2","m2","4","accuracy1",1e-04,"WLE"
"grad_m2","m2","4","nll",0,"BSL"
"grad_m2","m2","4","ece",0,"BSL"
"grad_m2","m1","2","accuracy5",0.2104,""
"grad_m2","m1","2","accuracy1",6e-04,"WLE"
"grad_m2","m1","2","nll",1e-04,"BSL"
"grad_m2","m1","2","ece",0,"BSL"
"grad_m2","m1","3","accuracy5",0.0032,"WLE"
"grad_m2","m1","3","accuracy1",0,"WLE"
"grad_m2","m1","3","nll",0,"BSL"
"grad_m2","m1","3","ece",0,"BSL"
"grad_m2","m1","4","accuracy5",0.0034,"WLE"
"grad_m2","m1","4","accuracy1",1e-04,"WLE"
"grad_m2","m1","4","nll",2e-04,"BSL"
"grad_m2","m1","4","ece",0,"BSL"
"logreg_no_interc","m1","2","accuracy5",0,"WLE"
"logreg_no_interc","m1","2","accuracy1",1e-04,"WLE"
"logreg_no_interc","m1","2","nll",0.0022,"BSL"
"logreg_no_interc","m1","2","ece",0,"WLE"
"logreg_no_interc","m1","3","accuracy5",0,"WLE"
"logreg_no_interc","m1","3","accuracy1",0,"WLE"
"logreg_no_interc","m1","3","nll",0.897,""
"logreg_no_interc","m1","3","ece",0,"WLE"
"logreg_no_interc","m1","4","accuracy5",0,"WLE"
"logreg_no_interc","m1","4","accuracy1",1e-04,"WLE"
"logreg_no_interc","m1","4","nll",0.0015,"WLE"
"logreg_no_interc","m1","4","ece",1e-04,"WLE"
"logreg_no_interc","m2","2","accuracy5",0,"WLE"
"logreg_no_interc","m2","2","accuracy1",0,"WLE"
"logreg_no_interc","m2","2","nll",0.0018,"BSL"
"logreg_no_interc","m2","2","ece",0,"WLE"
"logreg_no_interc","m2","3","accuracy5",0,"WLE"
"logreg_no_interc","m2","3","accuracy1",0,"WLE"
"logreg_no_interc","m2","3","nll",0.7036,""
"logreg_no_interc","m2","3","ece",0,"WLE"
"logreg_no_interc","m2","4","accuracy5",1e-04,"WLE"
"logreg_no_interc","m2","4","accuracy1",0,"WLE"
"logreg_no_interc","m2","4","nll",0.0124,"WLE"
"logreg_no_interc","m2","4","ece",1e-04,"WLE"
"logreg_no_interc","bc","2","accuracy5",0,"WLE"
"logreg_no_interc","bc","2","accuracy1",1e-04,"WLE"
"logreg_no_interc","bc","2","nll",0.0012,"BSL"
"logreg_no_interc","bc","2","ece",0,"WLE"
"logreg_no_interc","bc","3","accuracy5",0,"WLE"
"logreg_no_interc","bc","3","accuracy1",0,"WLE"
"logreg_no_interc","bc","3","nll",0.1786,""
"logreg_no_interc","bc","3","ece",0,"WLE"
"logreg_no_interc","bc","4","accuracy5",0,"WLE"
"logreg_no_interc","bc","4","accuracy1",0,"WLE"
"logreg_no_interc","bc","4","nll",0.1197,""
"logreg_no_interc","bc","4","ece",1e-04,"WLE"
