"combining_method","coupling_method","combination_size","metric","p.val","better_method"
"logreg_no_interc","bc","2","accuracy5",0.0148,"WLE"
"logreg_no_interc","bc","2","accuracy1",1e-04,"BSL"
"logreg_no_interc","bc","2","nll",2e-04,"BSL"
"logreg_no_interc","bc","2","ece",2e-04,"BSL"
"logreg_no_interc","bc","3","accuracy5",0.0062,"WLE"
"logreg_no_interc","bc","3","accuracy1",0,"BSL"
"logreg_no_interc","bc","3","nll",0,"BSL"
"logreg_no_interc","bc","3","ece",0,"BSL"
"logreg_no_interc","bc","4","accuracy5",0.1589,""
"logreg_no_interc","bc","4","accuracy1",0,"BSL"
"logreg_no_interc","bc","4","nll",0,"BSL"
"logreg_no_interc","bc","4","ece",1e-04,"BSL"
"logreg_no_interc","m1","2","accuracy5",3e-04,"WLE"
"logreg_no_interc","m1","2","accuracy1",2e-04,"WLE"
"logreg_no_interc","m1","2","nll",1e-04,"BSL"
"logreg_no_interc","m1","2","ece",0,"BSL"
"logreg_no_interc","m1","3","accuracy5",0,"WLE"
"logreg_no_interc","m1","3","accuracy1",0,"WLE"
"logreg_no_interc","m1","3","nll",0,"BSL"
"logreg_no_interc","m1","3","ece",0,"BSL"
"logreg_no_interc","m1","4","accuracy5",2e-04,"WLE"
"logreg_no_interc","m1","4","accuracy1",2e-04,"WLE"
"logreg_no_interc","m1","4","nll",0.0458,"WLE"
"logreg_no_interc","m1","4","ece",0,"BSL"
"logreg_no_interc","m2","2","accuracy5",0,"WLE"
"logreg_no_interc","m2","2","accuracy1",0,"WLE"
"logreg_no_interc","m2","2","nll",0,"BSL"
"logreg_no_interc","m2","2","ece",2e-04,"BSL"
"logreg_no_interc","m2","3","accuracy5",0,"WLE"
"logreg_no_interc","m2","3","accuracy1",0,"WLE"
"logreg_no_interc","m2","3","nll",0,"BSL"
"logreg_no_interc","m2","3","ece",0,"BSL"
"logreg_no_interc","m2","4","accuracy5",0,"WLE"
"logreg_no_interc","m2","4","accuracy1",0,"WLE"
"logreg_no_interc","m2","4","nll",0.2029,""
"logreg_no_interc","m2","4","ece",1e-04,"BSL"
"grad_m2","bc","2","accuracy5",0,"WLE"
"grad_m2","bc","2","accuracy1",0.005,"WLE"
"grad_m2","bc","2","nll",0.0343,"BSL"
"grad_m2","bc","2","ece",0.0015,"BSL"
"grad_m2","bc","3","accuracy5",0,"WLE"
"grad_m2","bc","3","accuracy1",2e-04,"WLE"
"grad_m2","bc","3","nll",0.1516,""
"grad_m2","bc","3","ece",0.0022,"BSL"
"grad_m2","bc","4","accuracy5",1e-04,"WLE"
"grad_m2","bc","4","accuracy1",0.0166,"WLE"
"grad_m2","bc","4","nll",0.3145,""
"grad_m2","bc","4","ece",0.001,"BSL"
"grad_m2","m1","2","accuracy5",0,"WLE"
"grad_m2","m1","2","accuracy1",1e-04,"WLE"
"grad_m2","m1","2","nll",0,"WLE"
"grad_m2","m1","2","ece",0.004,"WLE"
"grad_m2","m1","3","accuracy5",0,"WLE"
"grad_m2","m1","3","accuracy1",0,"WLE"
"grad_m2","m1","3","nll",0,"WLE"
"grad_m2","m1","3","ece",0,"WLE"
"grad_m2","m1","4","accuracy5",2e-04,"WLE"
"grad_m2","m1","4","accuracy1",1e-04,"WLE"
"grad_m2","m1","4","nll",1e-04,"WLE"
"grad_m2","m1","4","ece",0,"WLE"
"grad_m2","m2","2","accuracy5",2e-04,"WLE"
"grad_m2","m2","2","accuracy1",2e-04,"WLE"
"grad_m2","m2","2","nll",1e-04,"WLE"
"grad_m2","m2","2","ece",0,"WLE"
"grad_m2","m2","3","accuracy5",1e-04,"WLE"
"grad_m2","m2","3","accuracy1",0,"WLE"
"grad_m2","m2","3","nll",0,"WLE"
"grad_m2","m2","3","ece",0,"WLE"
"grad_m2","m2","4","accuracy5",0,"WLE"
"grad_m2","m2","4","accuracy1",0,"WLE"
"grad_m2","m2","4","nll",1e-04,"WLE"
"grad_m2","m2","4","ece",1e-04,"WLE"
